year,normalization_mean_income_adj_2025_usd,positive_income_observation_n,gompertz_A,gompertz_B,transition_x_t,pareto_alpha_mle,tail_parameter_status
1976,1099.94583111698,148387,1.5271796258079,0.330057773823031,8.29751970877842,2.15684140834175,observed
1977,1109.74471130448,192954,1.5271796258079,0.384102362221363,66.5329476423265,2.27282225043965,observed
1978,1118.91781636111,215695,1.5271796258079,0.334516681270462,8.99386830266557,2.584891201163,observed
1979,1025.49695586929,170807,1.5271796258079,0.35043524687074,8.49675170253546,2.66868941403959,observed
1980,682.08546557522,321502,1.5271796258079,0.343328263104317,7.93399720745902,2.61351226564356,adjacent_year_mean_no_survey
1981,338.673975281149,472198,1.5271796258079,0.336221279337894,7.37124271238257,2.55833511724752,observed
1982,810.224541161929,206845,1.5271796258079,0.32804472192425,7.84955960920348,2.88487613341331,observed
1983,201.279222084983,499794,1.5271796258079,0.376824421319126,7.96710960176985,2.48529180943116,observed
1984,173.895475179052,504510,1.5271796258079,0.348276221165842,7.82329475179977,2.66455348991597,observed
1985,165.559238610907,508995,1.5271796258079,0.349843471450015,7.52069347788395,2.50506533508237,adjacent_year_mean_missing_tail
1986,283.093330046488,284142,1.5271796258079,0.33940583465641,7.21809220396813,2.34557718024876,observed
1987,226.795515982992,292615,1.5271796258079,0.338215408469112,7.76394768414991,2.3847589462199,observed
1988,248.494614619246,289633,1.5271796258079,0.33853032361246,8.53321640008426,2.35876230134016,observed
1989,371.489226741912,292688,1.5271796258079,0.322855485936581,8.12690588882049,2.18156522707576,observed
1990,2184.10790097825,114461,1.5271796258079,0.294801844503163,7.10086809297183,5.248647477363,observed
1991,1251.6827005065,94892,1.5271796258079,0.329146800762135,7.28296852805091,3.81723067955955,adjacent_year_mean_no_survey
1992,319.257500034755,75322,1.5271796258079,0.363491757021107,7.46506896312998,2.38581388175611,observed
1993,356.643765531154,76818,1.5271796258079,0.336726637902645,8.09189309790807,2.30854639052865,observed
1994,461.582265642256,79532,1.5271796258079,0.351552442515099,8.24988455722698,2.33139654347845,adjacent_year_mean_no_survey
1995,566.520765753358,82246,1.5271796258079,0.366378247127553,8.4078760165459,2.35424669642825,observed
1996,584.230297025365,80874,1.5271796258079,0.352747941674032,8.12443717905215,2.44843895800331,observed
1997,555.577950463648,86474,1.5271796258079,0.336514200553359,7.79009107647884,2.32206788077656,observed
1998,533.165695635633,87130,1.5271796258079,0.335027257778465,8.15287296793561,2.40007520266735,observed
1999,322.832837273174,90372,1.5271796258079,0.355624053165173,8.17665545595168,2.33430818130872,observed
2000,286.677986491571,94955,1.5271796258079,0.366722854488172,8.3553053407846,2.33347407944269,adjacent_year_mean_no_survey
2001,250.523135709968,99538,1.5271796258079,0.37782165581117,8.53395522561751,2.33263997757665,observed
2002,214.310028555903,102499,1.5271796258079,0.386606912241752,8.35044854642999,2.48296666486979,observed
2003,261.639743334896,104013,1.5271796258079,0.354439447840273,7.98896724134048,2.53773934563402,observed
2004,284.460504441101,109014,1.5271796258079,0.387799547861654,8.29192947397243,2.57364000143034,observed
2005,379.580466247177,113323,1.5271796258079,0.338172700455837,7.47562535486469,2.48630224695942,observed
2006,436.936524609578,115227,1.5271796258079,0.345148509799288,7.4087306824125,2.41884903416668,observed
2007,522.781335180158,113221,1.5271796258079,0.359589064749028,7.56198988967386,2.49830167365918,observed
2008,590.854903370903,113245,1.5271796258079,0.385228834758136,7.59694880336684,2.41889743564335,observed
2009,636.829504661224,116202,1.5271796258079,0.398191611031537,7.575069440189,2.45240426915495,observed
2010,692.173445254167,110468,1.5271796258079,0.383705595856633,7.30400104066249,2.45768979243542,adjacent_year_mean_no_survey
2011,747.517385847109,104735,1.5271796258079,0.369219580681729,7.03293264113598,2.46297531571588,observed
2012,713.281529138098,108744,1.5271796258079,0.39285661066954,6.86123801280913,2.32783482475944,observed
2013,691.963226859893,108864,1.5271796258079,0.37067901166305,6.87404645216283,2.6118322718976,observed
2014,720.519200720191,114238,1.5271796258079,0.390227299642104,6.95048551493432,2.53830481639721,observed
2015,439.02070211217,114940,1.5271796258079,0.372931828101775,6.73813872120953,2.55870117068891,observed
2016,419.493348406934,454969,1.5271796258079,0.398686870114116,6.65281019208501,2.45806898360098,observed
2017,452.07775752453,452297,1.5271796258079,0.387735843083558,6.73827675066238,2.52500688412963,observed
2018,362.779494284512,446697,1.5271796258079,0.379320296451416,6.87356368844763,2.53317480591538,observed
2019,373.488605810236,438183,1.5271796258079,0.384470037345555,6.73048874619963,2.3695894615819,observed
2020,294.953757878835,349142,1.5271796258079,0.392523030666912,6.40488884758964,2.38410584356153,observed
2021,282.382147924344,328532,1.5271796258079,0.386008301539429,6.49431045081092,2.47773941746701,observed
2022,322.435475549851,372350,1.5271796258079,0.378971923903977,6.09876933659176,2.4562258857327,observed
2023,359.290797822918,378054,1.5271796258079,0.382823325283962,6.05308538159283,2.44546633142836,observed
2024,346.853583409626,377642,1.5271796258079,0.419402242489229,6.42978682632793,2.54251725083856,observed
2025,390.959173238997,403561,1.5271796258079,0.384237867161087,6.06116375306353,2.47142901073493,observed
